year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2008,4828.52379,2,1,2,1,2,1,3,1,2,2,3,2,2,0,1,4,2,0,0,2,4
2008,3087.88814,1,1,2,1,7,2,6,1,2,2,4,2,1,3,1,3,1,0,0,1,1
2008,3302.31117,2,1,2,1,5,1,1,1,2,2,1,1,2,0,1,1,1,0,0,2,1
2008,6796.9642,2,2,2,2,2,1,3,1,2,1,4,2,2,0,1,4,2,0,0,2,4
2008,3758.85256,2,1,2,1,5,5,88,1,3,2,4,2,3,5,1,2,1,0,0,2,5
2008,3588.69569,1,1,2,1,7,4,2,3,4,1,2,1,2,0,1,4,2,0,0,2,1
2008,4134.62592,2,1,2,1,5,1,2,1,3,1,3,2,1,4,1,3,1,0,0,2,1
2008,4001.41058,1,1,2,1,2,1,88,0,3,3,6,2,2,0,1,4,2,0,0,2,5
2008,6461.03103,2,1,2,1,4,4,4,1,4,3,1,2,3,5,1,4,2,1,1,2,3
2008,3279.99259,1,1,2,1,6,2,6,1,2,3,6,1,3,5,2,5,3,0,0,2,3
2008,3150.57191,2,1,2,1,6,2,2,1,3,1,3,2,2,0,1,4,2,0,0,2,1
2008,4279.69071,1,1,2,1,1,1,6,0,2,2,5,2,2,0,1,4,2,0,0,2,1
2008,1833.60391,1,1,2,1,4,2,6,1,3,1,4,1,3,5,1,4,2,0,0,2,1
2008,2367.38587,2,1,2,1,4,1,4,4,3,1,4,2,2,0,1,4,2,1,2,2,5
2008,2598.53198,1,1,1,4,5,1,3,3,3,1,4,2,2,0,1,4,2,0,0,2,3
2008,2598.53198,1,1,1,4,5,1,3,3,3,1,6,2,1,2,1,3,1,0,0,2,3
2008,2598.53198,1,1,1,4,5,1,3,3,3,1,4,2,3,5,1,4,2,0,0,2,3
2008,2598.53198,1,1,1,4,5,1,3,3,3,1,3,2,2,0,1,4,2,0,0,2,2
2008,16315.0183,1,1,2,1,4,4,3,1,3,2,6,2,2,0,1,4,2,0,0,2,3
2008,35426.1735,1,1,2,1,4,1,3,1,1,3,1,2,1,3,1,3,1,0,0,2,1
2008,1760.43731,1,1,2,1,8,2,88,1,3,1,3,1,2,0,1,4,2,0,0,2,3
2008,1960.67292,2,1,2,1,7,2,7,1,1,2,3,2,1,2,1,3,1,0,0,2,4
2008,1960.67292,2,1,2,1,7,2,7,1,1,2,3,2,2,0,1,4,2,0,0,2,4
2008,1960.67292,2,1,2,1,7,2,7,1,1,2,3,2,2,0,1,4,2,0,0,2,4
2008,1956.75184,2,1,1,4,7,5,2,5,3,1,4,1,2,0,1,4,2,0,0,2,1
2008,2289.70661,2,1,2,1,5,2,7,1,3,2,3,1,2,0,1,4,2,0,0,2,4
2008,4142.88042,1,1,2,1,2,1,88,1,3,3,3,1,2,0,1,4,2,0,0,2,4
2008,4142.88042,1,1,2,1,2,1,88,1,3,3,3,1,2,0,1,4,2,0,0,2,4
2008,4142.88042,1,1,2,1,2,1,88,1,3,3,3,1,2,0,1,4,2,0,0,2,4
2008,3008.55702,1,1,2,1,8,2,88,1,3,1,4,1,1,1,1,3,1,0,0,2,5
2008,5060.96981,2,1,2,1,4,1,88,4,3,1,3,2,1,4,1,3,1,0,0,2,4
2008,31160.0269,2,1,2,1,7,2,7,0,3,2,4,1,2,0,1,4,2,0,0,2,5
2008,4567.26951,1,2,2,2,5,1,5,2,3,1,4,1,3,5,1,4,2,0,0,2,1
2008,4567.26951,1,2,2,2,5,1,5,2,3,1,4,1,3,5,1,4,2,0,0,2,3
2008,3443.82754,1,1,2,1,7,2,5,0,3,2,1,2,2,0,1,4,2,1,2,2,1
2008,4163.46227,1,1,2,1,5,2,7,3,3,1,4,2,2,0,1,4,2,0,0,2,3
2008,3975.87652,2,1,1,4,1,1,4,4,3,1,5,2,2,0,1,4,2,0,0,1,4
